Source,Target
(new) Service Contract Mgmt System - AU,L3 Payment Method Management
(new) Service Contract Mgmt System - AU,L3 Payment Request Initiation
(new) Service Contract Mgmt System - AU,L3 Payment Request Management
(new) Service Contract Mgmt System - AU,L3 Reversals and Exception Management
(new) Service Contract Mgmt System - AU,L3 Risk Decisioning
(new) Service Contract Mgmt System - AU,L3 VFS Delivery & Activation Monitoring
(new) Service Contract Mgmt System - AU,L4 Charges & Fees Management
(new) Service Contract Mgmt System - AU,L4 Credit Limit Management
(new) Service Contract Mgmt System - AU,L4 Customer Credit Grading Rule Management
(new) Service Contract Mgmt System - AU,L4 Customer Credit Report Management
(new) Service Contract Mgmt System - AU,L4 Customer External Payment Behavior Reporting
(new) Service Contract Mgmt System - AU,L4 Customer Financial Statement Management
(new) Service Contract Mgmt System - AU,L4 Customer VFS Payment Behavior Reporting
(new) Service Contract Mgmt System - AU,L4 External Exposure Management
(new) Service Contract Mgmt System - AU,L4 Risk Authorization Management
(new) Service Contract Mgmt System - AU,L4 Risk Decision Rule Management
(new) Service Contract Mgmt System - AU,L4 Supplier Invoice Management
(new) Service Contract Mgmt System - AU,L4 VFS Exposure Management
(new) Service Contract Mgmt System - AU,Market Australia (AU)
(offline checking) by Report Center / DWH - China,Collection - China
(offline checking) by Report Center / DWH - China,Compliance Manager - China
(offline checking) by Report Center / DWH - China,Suspicious Deal Condition (e.g. high % Downpayment)
(offline checking) by Report Center / DWH - China,Suspicious in Collection (e.g. ET within first 6 months)
(Offline) Credit Data Import Tool - Turkey,Credit - Turkey
.NET Application,019174_VFS Americas CreditPath
.NET Application,110224_API Platform
???_Baihang Credit Reporting System,02.07 Obtain Additional Information
《中国银保监会汽车金融公司监管数据标准化规范》,《附件1-规范报送说明》
《中国银保监会汽车金融公司监管数据标准化规范》,《附件2-规范采集技术接口说明》
《中国银保监会汽车金融公司监管数据标准化规范》,《附件3-规范数据结构表》
《中国银保监会汽车金融公司监管数据标准化规范》,《附件4-规范E-R图》
《附件5-标准化监管数据报送清单》,《中国银保监会汽车金融公司监管数据标准化规范》
《附件6-数据更正申请表》,《中国银保监会汽车金融公司监管数据标准化规范》
《附件7-工作联系人名单》,《中国银保监会汽车金融公司监管数据标准化规范》
> 5 years Service Contract - Neitherlands & Belgium,4. Endurance - Neitherlands & Belgium
000162_TSA,1 Service Product Definition
000162_TSA,3 Management & Administration
000162_TSA,4 Finance & Accounting
000162_TSA,Commercial Services & Products Development
000162_TSA,L0 Core Capabilities
000162_TSA,L1 Commercial Offer Management
000162_TSA,L2 Price & Campaign Management
000162_TSA,L2 Product & Services Management
000162_TSA,Market Australia (AU)
000162_TSA,Unknown
000162_TSA,VFS Canvas Architecture
001971_CQ-Online,1 Service Product Definition
001971_CQ-Online,2 Sales Quotation
001971_CQ-Online,Commercial Services & Products Development
001971_CQ-Online,Customer & Partner Engagement
001971_CQ-Online,L0 Core Capabilities
001971_CQ-Online,L1 Commercial Offer Management
001971_CQ-Online,L1 Sales
001971_CQ-Online,L2 Price & Campaign Management
001971_CQ-Online,L2 Product & Services Management
001971_CQ-Online,L2 Quote Management
001971_CQ-Online,Market Australia (AU)
001971_CQ-Online,Unknown
001971_CQ-Online,VFS Canvas Architecture
002575_VFS China CMS,019222_VFS Connect
002575_VFS China CMS,025271_Report Center
002575_VFS China CMS,033792_PBOC T+1 Individual
002575_VFS China CMS,046480_VFS DCS
002575_VFS China CMS,05.01.02 Approve Contract Activation
002575_VFS China CMS,05.02.05 Insurance Renewal Management
002575_VFS China CMS,058045_VFS Navision China
002575_VFS China CMS,063443_APAC DWH
002575_VFS China CMS,072424_VFS China CSG
002575_VFS China CMS,076774_CCX - China ChengXin
002575_VFS China CMS,08.01.01 CMS Adjusts Delinquency Status for Each Contract
002575_VFS China CMS,08.01.04 Document Collection Efforts in CMS
002575_VFS China CMS,08.02.05 Document Collection Efforts in System (CMS)
002575_VFS China CMS,08.03.03 Document Collection Efforts in System
002575_VFS China CMS,095300_VFS China E-Invoice
002575_VFS China CMS,106275_China 2G PBOC Upload
002575_VFS China CMS,111257_China-E-Signature
002575_VFS China CMS,114632_VFS China EAST
002575_VFS China CMS,115679_TWS - Total Wholesale Solution
002575_VFS China CMS,122764_VFS China DSG
002575_VFS China CMS,129329_VFS China Payment Allocation System
002575_VFS China CMS,7. Funding Process (China)
002575_VFS China CMS,Activate Wholesale Contract with 0% Interest Rate - China
002575_VFS China CMS,Adapter: CMS to CSG
002575_VFS China CMS,Adapter: CMS to DWH (Extractor)
002575_VFS China CMS,Adapter: CMS to E-Invoice
002575_VFS China CMS,Adapter: CMS to Navision
002575_VFS China CMS,Adapter: CMS to PM
002575_VFS China CMS,Add/Change Borrower in CMS - China
002575_VFS China CMS,AML Data Source
002575_VFS China CMS,AML: Generate / Approve Suspicious Cusotmer Account Report
002575_VFS China CMS,AML: Generate/Approve Suspicious Transaction Report
002575_VFS China CMS,AML: Regular Blacklist Check
002575_VFS China CMS,AML: Regular Contract Risk Rating
002575_VFS China CMS,AML: Regular Suspicious Transaction Check
002575_VFS China CMS,ASSET
002575_VFS China CMS,ASSET (FLC)
002575_VFS China CMS,Auto tag 3rd party payment in CMS
002575_VFS China CMS,Baiwang 前置机
002575_VFS China CMS,BEP Lease Loan WHS
002575_VFS China CMS,BEP Products
002575_VFS China CMS,Business Engine Platform (BEP)
002575_VFS China CMS,CHARGE_AMORTIZATION_SCHEDULE
002575_VFS China CMS,CHARGE_AMORTIZATION_SCHEDULE (FLC)
002575_VFS China CMS,China Infosys Collection (To-Be)
002575_VFS China CMS,China OnGuard (To-Be)
002575_VFS China CMS,China TIM (To-Be)
002575_VFS China CMS,COLLECTION_FOLLOWUP
002575_VFS China CMS,COLLECTION_FOLLOWUP (FLC)
002575_VFS China CMS,Commercial Services & Products Operations
002575_VFS China CMS,CONTFPAS
002575_VFS China CMS,CONTFPAS (FLC)
002575_VFS China CMS,CONTPOR
002575_VFS China CMS,CONTPOR (FLC)
002575_VFS China CMS,CONTRACT
002575_VFS China CMS,CONTRACT (FLC)
002575_VFS China CMS,Contract Management Manager - China
002575_VFS China CMS,CONTRACT_REDEMPTION_MAIN
002575_VFS China CMS,CONTRACT_REDEMPTION_MAIN (FLC)
002575_VFS China CMS,Customer & Partner Engagement
002575_VFS China CMS,Customer data master solution
002575_VFS China CMS,Customer Re-KYC / Re-UBO Check
002575_VFS China CMS,FINPROD
002575_VFS China CMS,FINPROD (FLC)
002575_VFS China CMS,Generate Payer ID(Virtual Account Number)
002575_VFS China CMS,GL.3.01 CMS Day-End & Month-End Running
002575_VFS China CMS,GL.3.02 Data Transfer
002575_VFS China CMS,GL.5.03 Incoming Recognition Month-End Running Process
002575_VFS China CMS,GL.5.04 Data Transfer
002575_VFS China CMS,Handel Principal from Allocated Result (Lump Sum Pay / Ending) in CMS - China
002575_VFS China CMS,HOLIDAY_CODE
002575_VFS China CMS,HOLIDAY_CODE (FLC)
002575_VFS China CMS,INCOME_RECOGNITION
002575_VFS China CMS,INCOME_RECOGNITION (FLC)
002575_VFS China CMS,INSURANCE
002575_VFS China CMS,INSURANCE (FLC)
002575_VFS China CMS,Intermediate Tables Extracted From CMS
002575_VFS China CMS,IT
002575_VFS China CMS,L0 Core Capabilities
002575_VFS China CMS,L0 Supporting Capabilities
002575_VFS China CMS,L1 Commercial Operations
002575_VFS China CMS,L1 Customer & Partner Support
002575_VFS China CMS,L1 Customer Relationship Management
002575_VFS China CMS,L1 Document Management
002575_VFS China CMS,L2 Asset Management
002575_VFS China CMS,L2 Collection Management
002575_VFS China CMS,L2 Contract Management
002575_VFS China CMS,L2 Customer Information Management
002575_VFS China CMS,L2 Invoice Management
002575_VFS China CMS,L2 Onboarding Management
002575_VFS China CMS,L2 Payment Management
002575_VFS China CMS,L2 Repossession Management
002575_VFS China CMS,L2 Service Management
002575_VFS China CMS,LOAN_DOCUMENTATION
002575_VFS China CMS,LOAN_DOCUMENTATION (FLC)
002575_VFS China CMS,Login CMS and reporting center
002575_VFS China CMS,Manually Load Daily 3rd Party Payments into CMS
002575_VFS China CMS,Market China (CN-AFC)
002575_VFS China CMS,Market China (CN-FLC)
002575_VFS China CMS,Obtain customer total exposure and payment performance
002575_VFS China CMS,PAYABLE_MAIN_INFORMATION
002575_VFS China CMS,PAYABLE_MAIN_INFORMATION (FLC)
002575_VFS China CMS,PAYSCHDT
002575_VFS China CMS,PAYSCHDT (FLC)
002575_VFS China CMS,PAYSCHED
002575_VFS China CMS,PAYSCHED (FLC)
002575_VFS China CMS,PERSORG
002575_VFS China CMS,PERSORG (FLC)
002575_VFS China CMS,PERSORGR
002575_VFS China CMS,PERSORGR (FLC)
002575_VFS China CMS,PERSORGTAXINFO
002575_VFS China CMS,PERSORGTAXINFO (FLC)
002575_VFS China CMS,Prepare daily report to Finance
002575_VFS China CMS,Prioritize credit approvals
002575_VFS China CMS,Process Customer Information Change
002575_VFS China CMS,PROCESSING_DAY
002575_VFS China CMS,PROCESSING_DAY (FLC)
002575_VFS China CMS,Query Payer ID
002575_VFS China CMS,RESTRUCTURE
002575_VFS China CMS,RESTRUCTURE (FLC)
002575_VFS China CMS,SALESINV
002575_VFS China CMS,SALESINV (FLC)
002575_VFS China CMS,SALINCLD
002575_VFS China CMS,SALINCLD (FLC)
002575_VFS China CMS,SALINVCL
002575_VFS China CMS,SALINVCL (FLC)
002575_VFS China CMS,SALINVDT
002575_VFS China CMS,SALINVDT (FLC)
002575_VFS China CMS,SAP_FORMAT
002575_VFS China CMS,SAP_FORMAT (FLC)
002575_VFS China CMS,SMS Service
002575_VFS China CMS,SMTP Email Gateway
002575_VFS China CMS,TRANSDTS
002575_VFS China CMS,TRANSDTS (FLC)
002575_VFS China CMS,UBOINFO
002575_VFS China CMS,Upload allocation spreadsheet into CMS
002575_VFS China CMS,Upload Clearance  Report
002575_VFS China CMS,Verify CMS Contract Info need to be updated
002575_VFS China CMS,Verify CMS Transaction Info need to be updated
002575_VFS China CMS,VFS Canvas Architecture
002575_VFS China CMS,VFS China CMS API Layer
002575_VFS China CMS,VFS_RPT_BALANCE
002575_VFS China CMS,VFS_RPT_BALANCE (FLC)
002575_VFS China CMS,VFS_RPT_CMS_LOG
002575_VFS China CMS,VFS_RPT_CMS_LOG (FLC)
002575_VFS China CMS,VFS_RPT_FINANCIAL
002575_VFS China CMS,VFS_RPT_FINANCIAL (FLC)
002575_VFS China CMS,VFS_RPT_INTEREST_RECEIVE_HP
002575_VFS China CMS,VFS_RPT_INTEREST_RECEIVE_HP (FLC)
002575_VFS China CMS,VFS_RPT_MONTHEND_INCOME
002575_VFS China CMS,VFS_RPT_MONTHEND_INCOME (FLC)
002575_VFS China CMS,VFS_RPT_MONTHEND_INCOME_HISTORY
002575_VFS China CMS,VFS_RPT_MONTHEND_INCOME_HISTORY (FLC)
002575_VFS China CMS,WHOLE_SALE_INFORMATION
002575_VFS China CMS,WHOLE_SALE_INFORMATION (FLC)
01 Don't Know He/She Needs VFS,01 Unqualified Need
01 Don't Know He/She Needs VFS,02 Browsing Around
01 Input Customer EIN and Onboarding Info in Originations System,02 Transfer Customer EIN and Onboarding Info in RBA Module
01 KYC,Ability to automate KYC checks for customer and corporate customer's by integrating with third party agencies
01 KYC,"Ability to do credit check (Credit Bureau check, Finscan check and KYC check of certain parties who may be relevant to the deal but may not have impact on credit decision (Authorized signatory / Ultimate Beneficiary Owner, etc.))"
01 KYC,"Ability to import, store and process KYC information received from Third Party Agencies"
01 Master Data,01.01 Master Data - System Ownership
01 Master Data,01.02 Master Data - Dealer Data Access and Change
01 Master Data,01.03 Master Data - Customer Data
01 Phone Collection,"01.01 Phone collector can view daily work in work queue. Manger can config the allocation rules in system, and then system do allocation for each user automatically. Allocation to be done each day."
01 Phone Collection,"01.02 User can make phone calls automatically, system allow user to dail automatically"
01 Phone Collection,01.03 User can input phone call comments (logs). allow users to capture comments about the  conversation. User can view all the previous comments .
01 Phone Collection,"01.04 AML check: User do AML check if  the payment is paid by third party. A reminder is expected by the system. User can input the AML check results in system, and can generate the related report for monthly reporting. AML check to be done, allow user to capture commets about the AML check and generate the report."
01 Phone Collection,"01.05 Dealer payment phone verification: if the payment is paid by dealer, user will do a phone check and input the check result. A reminder for remind the check  by the system is expected. Receipt allocation details and payment record are saved in CMS"
01 Phone Collection,"01.06 Overdue customer phone collection, if the contract is overdue, user will do phone collection"
01 Phone Collection,01.07 User can input field collection log
01 Quotation Generation - India,02 Quick Data Entry (QDE) - India
01 Retail Finance Products,COMMON FINANCE PRODUCTS
01 Unqualified Need,02 What's Going On?
01.01 Master Data - System Ownership,01.01.01 HR Announcement of Position Change
01.01 Master Data - System Ownership,01.01.02 Approve the Change of System Ownership
01.01 Master Data - System Ownership,01.01.03 VFS China IT to Inform Users
01.01 Master Data - System Ownership,01.01.04 Modification in System
01.01.01 HR Announcement of Position Change,01.01.02 Approve the Change of System Ownership
01.01.02 Approve the Change of System Ownership,01.01.03 VFS China IT to Inform Users
01.01.03 VFS China IT to Inform Users,01.01.04 Modification in System
01.02 Master Data - Dealer Data Access and Change,01.02.01 Accounts Creation / Modification Request
01.02 Master Data - Dealer Data Access and Change,01.02.02 Approve Access to Master Data
01.02 Master Data - Dealer Data Access and Change,01.02.03 Verify the Signatures
01.02 Master Data - Dealer Data Access and Change,01.02.04 Accounts Creation / Modification in System
01.02 Master Data - Dealer Data Access and Change,01.02.05 Access Right Review
01.02 Master Data - Dealer Data Access and Change,01.02.06 Receive Dealer Bank Account Information
01.02 Master Data - Dealer Data Access and Change,01.02.07 Approve Master Data Changes
01.02.01 Accounts Creation / Modification Request,01.02.02 Approve Access to Master Data
01.02.02 Approve Access to Master Data,01.02.03 Verify the Signatures
01.02.02 Approve Access to Master Data,01.02.05 Access Right Review
01.02.03 Verify the Signatures,01.02.04 Accounts Creation / Modification in System
01.02.05 Access Right Review,01.02.06 Receive Dealer Bank Account Information
01.02.06 Receive Dealer Bank Account Information,01.02.07 Approve Master Data Changes
01.03 Master Data - Customer Data,01.03.01 Need for Master Data Change
01.03 Master Data - Customer Data,01.03.02 Edit Master Data
01.03 Master Data - Customer Data,01.03.03 Sending Request to Work Queue
01.03 Master Data - Customer Data,01.03.04 Approve Master Data
01.03.01 Need for Master Data Change,01.03.02 Edit Master Data
01.03.02 Edit Master Data,01.03.03 Sending Request to Work Queue
01.03.03 Sending Request to Work Queue,01.03.04 Approve Master Data
018390_TIM,019223_VFS Americas Pyramid
018390_TIM,057227_India VFSOne LOS
018390_TIM,095696_VFS Americas SAC-F
018390_TIM,Asset master data solution
018390_TIM,BEP AppStore
018390_TIM,Business Engine Platform (BEP)
018390_TIM,Collection - Turkey
018390_TIM,Collection - ZA
018390_TIM,Commercial Services & Products Operations
018390_TIM,Field Collection Office (FCO) - China
018390_TIM,L0 Core Capabilities
018390_TIM,L1 Commercial Operations
018390_TIM,L2 Asset Management
018390_TIM,L2 Remarketing Management
018390_TIM,L3 Asset Remarketing
018390_TIM,L3 Asset Valuation
018390_TIM,L3 Disposal / Bad Debt (Australia)
018390_TIM,L3 Inventory Management
018390_TIM,Market Australia (AU)
018390_TIM,Market Austria (AT)
018390_TIM,Market Belarus (BY)
018390_TIM,Market Belgium (BE)
018390_TIM,Market Brazil (BR)
018390_TIM,Market Bulgaria (BG)
018390_TIM,Market Chile (CL)
018390_TIM,Market Croatia (HR)
018390_TIM,Market Czech Republic (CZ)
018390_TIM,Market Denmark (DK)
018390_TIM,Market Estonia (EE)
018390_TIM,Market Finland (FI)
018390_TIM,Market France (FR)
018390_TIM,Market Germany (DE)
018390_TIM,Market Hungary (HU)
018390_TIM,Market India (IN)
018390_TIM,Market Ireland (IE)
018390_TIM,Market Italy (IT)
018390_TIM,Market Kazakhstan (KZ)
018390_TIM,Market Latvia (LV)
018390_TIM,Market Lithuania (LT)
018390_TIM,Market Luxembourg (LU)
018390_TIM,Market Mexico (MX)
018390_TIM,Market Montenegro (ME)
018390_TIM,Market Netherlands (NL)
018390_TIM,Market North Macedonia (MK)
018390_TIM,Market Norway (NO)
018390_TIM,Market Peru (PE)
018390_TIM,Market Poland (PL)
018390_TIM,Market Romania (RO)
018390_TIM,Market Russia (RU)
018390_TIM,Market Serbia (RS)
018390_TIM,Market Slovakia (SK)
018390_TIM,Market Slovenia (SL)
018390_TIM,Market South Africa (ZA)
018390_TIM,Market Spain (ES)
018390_TIM,Market Sweden (SE)
018390_TIM,Market Switzerland (CH)
018390_TIM,Market Turkey (TR)
018390_TIM,Market Ukraine (UA)
018390_TIM,Market United Kingdom (GB)
018390_TIM,Phone Collector - China
018390_TIM,VFS Canvas Architecture
018747_1C Homnet,BEP Lease Loan WHS
018747_1C Homnet,BEP Products
018747_1C Homnet,Business Engine Platform (BEP)
018747_1C Homnet,Commercial Services & Products Operations
018747_1C Homnet,Customer & Partner Engagement
018747_1C Homnet,L0 Core Capabilities
018747_1C Homnet,L0 Strategy Capabilities
018747_1C Homnet,L0 Supporting Capabilities
018747_1C Homnet,L1 Commercial Operations
018747_1C Homnet,L1 Customer & Partner Support
018747_1C Homnet,L1 Customer Relationship Management
018747_1C Homnet,L1 Finance
018747_1C Homnet,L1 Legal & Compliance Management
018747_1C Homnet,L2 Collection Management
018747_1C Homnet,L2 Contract Management
018747_1C Homnet,L2 Invoice Management
018747_1C Homnet,L2 Payment Management
018747_1C Homnet,L2 Service Management
018747_1C Homnet,L3 Case Management
018747_1C Homnet,Market Russia (RU)
018747_1C Homnet,VFS Canvas Architecture
018749_ACG,BEP Lease Loan WHS
018749_ACG,BEP Products
018749_ACG,Business Engine Platform (BEP)
018749_ACG,Commercial Services & Products Operations
018749_ACG,Customer & Partner Engagement
018749_ACG,L0 Core Capabilities
018749_ACG,L0 Strategy Capabilities
018749_ACG,L1 Commercial Operations
018749_ACG,L1 Customer Relationship Management
018749_ACG,L1 Finance
018749_ACG,L2 Contract Management
018749_ACG,Market Italy (IT)
018749_ACG,VFS Canvas Architecture
019135_VFS Americas Artiva,Commercial Services & Products Operations
019135_VFS Americas Artiva,L0 Core Capabilities
019135_VFS Americas Artiva,L1 Commercial Operations
019135_VFS Americas Artiva,L2 Collection Management
019135_VFS Americas Artiva,Market Canada (CA)
019135_VFS Americas Artiva,Market US (US)
019135_VFS Americas Artiva,Unknown
019135_VFS Americas Artiva,VFS Canvas Architecture
019137_VFS Americas ABS Suite,Market Canada (CA)
019137_VFS Americas ABS Suite,Market US (US)
019137_VFS Americas ABS Suite,Unknown
019137_VFS Americas ABS Suite,VFS Canvas Architecture
019141_CTOBB,Commercial Services & Products Operations
019141_CTOBB,L0 Core Capabilities
019141_CTOBB,L1 Commercial Operations
019141_CTOBB,L2 Payment Management
019141_CTOBB,Market Brazil (BR)
019141_CTOBB,Unknown
019141_CTOBB,VFS Canvas Architecture
019145_VFS Americas Business Objects NA,Data Platform (DP)
019145_VFS Americas Business Objects NA,L0 Supporting Capabilities
019145_VFS Americas Business Objects NA,L1 Data Management
019145_VFS Americas Business Objects NA,Market Brazil (BR)
019145_VFS Americas Business Objects NA,Market Canada (CA)
019145_VFS Americas Business Objects NA,Market Mexico (MX)
019145_VFS Americas Business Objects NA,Market US (US)
019145_VFS Americas Business Objects NA,VFS Canvas Architecture
019146_BO-InfoView NW,Data Platform (DP)
019146_BO-InfoView NW,L0 Supporting Capabilities
019146_BO-InfoView NW,L1 Data Management
019146_BO-InfoView NW,Market Belgium (BE)
019146_BO-InfoView NW,Market France (FR)
019146_BO-InfoView NW,Market Ireland (IE)
019146_BO-InfoView NW,Market Netherlands (NL)
019146_BO-InfoView NW,Market United Kingdom (GB)
019146_BO-InfoView NW,VFS Canvas Architecture
019147_CTCETIP,Commercial Services & Products Operations
019147_CTCETIP,L0 Core Capabilities
019147_CTCETIP,L1 Commercial Operations
019147_CTCETIP,L2 Asset Management
019148_Charisma Romania,BEP Lease Loan WHS
019148_Charisma Romania,BEP Products
019148_Charisma Romania,Business Engine Platform (BEP)
019148_Charisma Romania,Commercial Services & Products Operations
019148_Charisma Romania,Customer & Partner Engagement
019148_Charisma Romania,L0 Core Capabilities
019148_Charisma Romania,L0 Strategy Capabilities
019148_Charisma Romania,L1 Commercial Operations
019148_Charisma Romania,L1 Customer Relationship Management
019148_Charisma Romania,L1 Finance
019148_Charisma Romania,L2 Contract Management
019148_Charisma Romania,L2 Invoice Management
019148_Charisma Romania,Market Romania (RO)
019148_Charisma Romania,VFS Canvas Architecture
019149_VFS Americas CIC (Phone System),Market Canada (CA)
019149_VFS Americas CIC (Phone System),Market US (US)
019149_VFS Americas CIC (Phone System),Out of Scope
019149_VFS Americas CIC (Phone System),VFS Canvas Architecture
019152_CoreView,BEP Lease Loan WHS
019152_CoreView,BEP Products
019152_CoreView,Business Engine Platform (BEP)
019152_CoreView,Commercial Services & Products Operations
019152_CoreView,Customer & Partner Engagement
019152_CoreView,L0 Core Capabilities
019152_CoreView,L0 Strategy Capabilities
019152_CoreView,L1 Commercial Operations
019152_CoreView,L1 Customer Relationship Management
019152_CoreView,L1 Finance
019152_CoreView,L2 Contract Management
019152_CoreView,L2 Invoice Management
019152_CoreView,Market Belarus (BY)
019152_CoreView,Market Denmark (DK)
019152_CoreView,Market Finland (FI)
019152_CoreView,Market Kazakhstan (KZ)
019152_CoreView,Market Montenegro (ME)
019152_CoreView,Market North Macedonia (MK)
019152_CoreView,Market Norway (NO)
019152_CoreView,Market Serbia (RS)
019152_CoreView,Market Sweden (SE)
019152_CoreView,UBO Module - Europe
019152_CoreView,VFS Canvas Architecture
019153_CPBI,Commercial Services & Products Operations
019153_CPBI,Customer & Partner Engagement
019153_CPBI,L0 Core Capabilities
019153_CPBI,L0 Strategy Capabilities
019153_CPBI,L1 Commercial Operations
019153_CPBI,L1 Customer Relationship Management
019153_CPBI,L1 Finance
019153_CPBI,L2 Contract Management
